Inokulasyondan_sonra_gecen_sure	Kulturleme_kosulu	Patojen	Bitki_numarasi	Tekil_bitki_numarasi	Gozlem	Fotosentez	Iletkenlik
9	Kurak	P. multivora 	1	3	4	0.25418236071727	-7.66091576824846
9	Kurak	P. multivora 	1	3	5	0.288132293337147	-7.29891815337954
9	Kurak	P. multivora 	1	3	6	0.148547775403579	-6.02681694385401
9	Kurak	P. multivora 	1	3	7	0.507998919398892	-5.66996498651376
9	Kurak	P. multivora 	1	3	8	0.466216762483073	-5.58703357353266
9	Kurak	P. multivora 	1	3	9	0.522427541088176	-5.62854708827281
9	Kurak	P. multivora 	1	3	10	0.512124747539156	-5.64820851540172
35	Kurak	Kontrol	6	4	1	-1.71921030166489	-4.9649645617276
35	Kurak	Kontrol	6	4	2	-1.89928645665868	-4.60207119283156
35	Kurak	Kontrol	6	4	3	0.701275195568093	-4.72186165512004
35	Kurak	Kontrol	6	4	4	-0.537115449305464	-4.40953712174599
35	Kurak	Kontrol	6	4	5	0.22783232182948	-4.62332682466708
35	Kurak	Kontrol	6	4	6	-0.087285492010265	-4.47486683538958
35	Kurak	Kontrol	6	4	7	0.886838296187488	-4.55609663340552
35	Kurak	Kontrol	6	4	8	-1.03609133332332	-4.31950827769455
35	Kurak	Kontrol	6	4	9	0.628053706531166	-4.40752054021372
35	Kurak	Kontrol	6	4	10	0.123104515433683	-4.49191703924834
9	Kurak	Kontrol	8	5	1	1.82452977153794	-3.53603452927093
9	Kurak	Kontrol	8	5	2	1.7662041070471	-3.51384206255352
9	Kurak	Kontrol	8	5	3	1.79885305283463	-3.56435280779859
9	Kurak	Kontrol	8	5	4	1.83673059490652	-3.52034470002912
9	Kurak	Kontrol	8	5	5	1.786867858618	-3.49729529464681
9	Kurak	Kontrol	8	5	6	1.83236070482285	-3.46909073997817
9	Kurak	Kontrol	8	5	7	1.87122150080339	-3.46454064939975
9	Kurak	Kontrol	8	5	8	1.92669412375739	-3.43692157955566
9	Kurak	Kontrol	8	5	9	1.8522373973051	-3.44244584210608
9	Kurak	Kontrol	8	5	10	1.9149644133675	-3.4292958212525
9	Kurak	P. cinnamomi 	3	6	1	1.14494208225739	-5.77467747547325
9	Kurak	P. cinnamomi 	3	6	2	0.893359164602825	-4.14287821529332
9	Kurak	P. cinnamomi 	3	6	3	0.755545613654319	-4.0834198745256
9	Kurak	P. cinnamomi 	3	6	4	1.23450923969349	-3.78657021325006
9	Kurak	P. cinnamomi 	3	6	5	0.67536725990273	-3.49974697771424
9	Kurak	P. cinnamomi 	3	6	6	0.0943564114755173	-3.33483373957156
9	Kurak	P. cinnamomi 	3	6	7	0.756532884490283	-3.22161502304842
9	Kurak	P. cinnamomi 	3	6	8	-0.04045968203835	-3.19542515389987
9	Kurak	P. cinnamomi 	3	6	9	0.061731234706235	-3.23832216014392
9	Kurak	P. cinnamomi 	3	6	10	-0.00865246787180937	-3.22729975676121
9	Kurak	P. cinnamomi 	3	6	11	-0.147708930351869	-3.23461770566683
9	Kurak	P. cinnamomi 	10	7	1	1.73340851223816	-3.02520687314068
9	Kurak	P. cinnamomi 	10	7	2	2.05724407497857	-2.73811913939102
9	Kurak	P. cinnamomi 	10	7	3	2.04944803244189	-2.72053150451598
9	Kurak	P. cinnamomi 	10	7	4	2.10140010809664	-2.70125407219119
9	Kurak	P. cinnamomi 	10	7	5	2.10441600381519	-2.67959546442749
9	Kurak	P. cinnamomi 	10	7	6	2.15615349161014	-2.63251744336626
9	Kurak	P. cinnamomi 	10	7	7	2.17299104581312	-2.60416627206203
9	Kurak	P. cinnamomi 	10	7	8	2.1574290308379	-2.58513470574605
9	Kurak	P. cinnamomi 	10	7	9	2.1796575227708	-2.58497324301352
9	Kurak	P. cinnamomi 	10	7	10	2.17156378826144	-2.57785840685883
9	Kurak	P. multivora 	3	8	1	2.58722366218482	-2.255118337477
9	Kurak	P. multivora 	3	8	2	2.49503477176608	-2.26564227034146
9	Kurak	P. multivora 	3	8	3	2.42891923065429	-2.12955406818508
9	Kurak	P. multivora 	3	8	4	2.47942163790909	-2.10607484018352
9	Kurak	P. multivora 	3	8	5	2.46121880841259	-2.08989034883167
9	Kurak	P. multivora 	3	8	6	2.47018627389585	-2.0947136001596
9	Kurak	P. multivora 	3	8	7	2.4548952183253	-2.09837088048344
9	Kurak	P. multivora 	3	8	8	2.48953267488191	-2.05940571804662
9	Kurak	P. multivora 	3	8	9	2.4501369886557	-2.09595250859913
9	Kurak	P. multivora 	3	8	10	2.47147579158731	-2.08671647596019
9	Nemli	Kontrol	7	9	1	1.70313905825544	-3.38880173609879
9	Nemli	Kontrol	7	9	2	1.77528520771209	-3.32977434142871
9	Nemli	Kontrol	7	9	3	1.78264174801759	-3.33111634244452
9	Nemli	Kontrol	7	9	4	1.76916553581913	-3.28669446639022
9	Nemli	Kontrol	7	9	5	1.79214502922358	-3.23424858254132
9	Nemli	Kontrol	7	9	6	1.83803637590527	-3.20846352153283
9	Nemli	Kontrol	7	9	7	1.85394067533049	-3.1543184054717
9	Nemli	Kontrol	7	9	8	1.86591029828484	-3.10513427837154
9	Nemli	Kontrol	7	9	9	1.90272654148396	-3.0330884891636
35	Nemli	Kontrol	10	10	1	2.39071344510131	-1.71646863878426
35	Nemli	Kontrol	10	10	2	2.41188060239896	-1.71445869691821
35	Nemli	Kontrol	10	10	3	2.45774313954274	-1.68761563943238
35	Nemli	Kontrol	10	10	4	2.42703169282174	-1.63951341003971
35	Nemli	Kontrol	10	10	5	2.41427215389417	-1.65763407630664
35	Nemli	Kontrol	10	10	6	2.42024521976411	-1.66075059122005
35	Nemli	Kontrol	10	10	7	2.4103296975521	-1.66954666483405
35	Nemli	Kontrol	10	10	8	2.38624048337154	-1.67988091878713
35	Nemli	Kontrol	10	10	9	2.40031076768572	-1.67671133801578
35	Nemli	Kontrol	10	10	10	2.40330586095005	-1.69033546788591
35	Nemli	P. cinnamomi 	4	11	2	2.03376241424458	-3.15045043770336
35	Nemli	P. cinnamomi 	4	11	3	1.98154617097221	-3.10407737198464
35	Nemli	P. cinnamomi 	4	11	4	2.08862333495691	-3.04607446249102
35	Nemli	P. cinnamomi 	4	11	5	1.98431142408834	-3.00073189083794
35	Nemli	P. cinnamomi 	4	11	6	2.22012761636968	-2.96737390027694
35	Nemli	P. cinnamomi 	4	11	7	2.04478833439219	-2.89927649565236
35	Nemli	P. cinnamomi 	4	11	8	2.05690275581353	-2.90161540546296
35	Nemli	P. cinnamomi 	4	11	9	2.1214660757395	-2.87182161463075
35	Nemli	P. cinnamomi 	4	11	10	2.09614639297546	-2.84616063871241
35	Nemli	P. cinnamomi 	4	11	11	2.09384146360153	-2.84637315781403
35	Nemli	P. cinnamomi 	7	12	1	2.28622234359219	-2.06600472538953
35	Nemli	P. cinnamomi 	7	12	2	2.28317529623984	-2.06559242099468
35	Nemli	P. cinnamomi 	7	12	3	2.28677712210935	-2.06011393699296
35	Nemli	P. cinnamomi 	7	12	4	2.29901336295377	-2.0587731951091
35	Nemli	P. cinnamomi 	7	12	5	2.29446880193223	-2.05846253208292
35	Nemli	P. cinnamomi 	7	12	6	2.29629054623564	-2.05851210633311
35	Nemli	P. cinnamomi 	7	12	7	2.3197798973838	-2.05702661959479
35	Nemli	P. cinnamomi 	7	12	8	2.31189176426758	-2.03733193616653
35	Nemli	P. cinnamomi 	7	12	9	2.334640522668	-2.03839258539735
35	Nemli	P. cinnamomi 	7	12	10	2.39141584841056	-2.01871123509529
35	Nemli	P. cinnamomi 	9	13	1	-1.07135977785388	-5.68950744938337
35	Nemli	P. cinnamomi 	9	13	2	-1.63388221485599	-5.65061959902531
35	Nemli	P. cinnamomi 	9	13	3	-2.568839715099	-5.6837766327154
35	Nemli	P. cinnamomi 	9	13	4	-0.471183986393227	-6.1037606137492
35	Nemli	P. cinnamomi 	9	13	5	-0.0234983820925631	-6.85378427286671
35	Nemli	P. cinnamomi 	9	13	6	-1.55309224878613	-5.89950068726498
35	Nemli	P. cinnamomi 	9	13	8	-0.133615391580908	-5.83888321234448
9	Nemli	P. multivora 	10	14	1	2.27549844594618	-2.36654442189583
9	Nemli	P. multivora 	10	14	2	2.34454278700343	-2.38025613612195
9	Nemli	P. multivora 	10	14	3	2.30698765647362	-2.38525222896883
9	Nemli	P. multivora 	10	14	4	2.318234987068	-2.37405190071066
9	Nemli	P. multivora 	10	14	5	2.31554904466362	-2.34927420292457
9	Nemli	P. multivora 	10	14	6	2.32982043984999	-2.324460923692
9	Nemli	P. multivora 	10	14	7	2.32696033327593	-2.29098115979812
9	Nemli	P. multivora 	10	14	8	2.34091124653277	-2.22639830521841
9	Nemli	P. multivora 	10	14	9	2.32482234536045	-2.20196862555916
9	Nemli	P. multivora 	10	14	10	2.35244946570912	-2.19953640555298
5	Nemli	P. multivora 	10	15	1	1.85202726048608	-1.85607422020404
5	Nemli	P. multivora 	10	15	2	1.73768302283189	-2.12510235777049
5	Nemli	P. multivora 	10	15	3	1.44879457632262	-1.66852508454476
5	Nemli	P. multivora 	10	15	4	1.83421732020524	-2.17373204553043
5	Nemli	P. multivora 	10	15	5	1.60021038081262	-2.04131508084847
5	Nemli	P. multivora 	10	15	6	1.76086596985777	-2.16306829370748
5	Nemli	P. multivora 	10	15	7	1.47779152127748	-1.98666997779957
5	Nemli	P. multivora 	10	15	8	1.65049589811425	-2.01794870393078
5	Nemli	P. multivora 	10	15	9	1.52132141506019	-1.84093352657504
5	Nemli	P. multivora 	10	15	10	1.56761641503555	-2.1226602309799
5	Nemli	P. cinnamomi 	9	16	1	-0.261226481488101	-2.67708010394386
5	Nemli	P. cinnamomi 	9	16	2	-0.267337908153105	-2.68381712335009
5	Nemli	P. cinnamomi 	9	16	3	0.0555790020588871	-2.68384924594091
5	Nemli	P. cinnamomi 	9	16	4	-0.0827449203638969	-2.68796695141947
5	Nemli	P. cinnamomi 	9	16	5	0.0689458570484568	-2.68994467483238
5	Nemli	P. cinnamomi 	9	16	6	0.124264993856477	-2.69179624525198
5	Nemli	P. cinnamomi 	9	16	7	-0.143539223176481	-2.69100764400371
5	Nemli	P. cinnamomi 	9	16	8	-0.00102475087787582	-2.69356988870037
5	Nemli	P. cinnamomi 	9	16	9	-0.134337439678898	-2.70064884384655
5	Nemli	P. cinnamomi 	9	16	10	0.0830539563868156	-2.70013173506919
5	Nemli	P. multivora 	1	18	1	1.22395370514221	-2.32533079629286
5	Nemli	P. multivora 	1	18	2	1.20379165531945	-2.31706268946645
5	Nemli	P. multivora 	1	18	3	1.48241285778447	-2.45110891830145
5	Nemli	P. multivora 	1	18	4	1.38716174383472	-2.46621006923018
5	Nemli	P. multivora 	1	18	5	1.297514882687	-2.43281594981281
5	Nemli	P. multivora 	1	18	6	1.43247024842442	-2.33084534881206
5	Nemli	P. multivora 	1	18	7	1.26155565641256	-2.35982960818767
5	Nemli	P. multivora 	1	18	8	1.12828829342628	-2.3154276264359
5	Nemli	P. multivora 	1	18	9	1.01874084124537	-2.25086860516547
5	Nemli	P. multivora 	1	18	10	0.919665161277871	-2.2856909559639
5	Nemli	P. multivora 	1	18	11	1.13346768639908	-2.236258349804
5	Nemli	P. cinnamomi 	6	20	1	1.43282308014873	-2.33386788695569
5	Nemli	P. cinnamomi 	6	20	2	1.70668829446458	-2.3191194044578
5	Nemli	P. cinnamomi 	6	20	3	1.66489570212107	-2.28558297169198
5	Nemli	P. cinnamomi 	6	20	4	1.82349504620655	-2.20340832535707
5	Nemli	P. cinnamomi 	6	20	5	1.77827409796565	-2.16991925985808
5	Nemli	P. cinnamomi 	6	20	6	1.70938432627708	-2.1462197188423
5	Nemli	P. cinnamomi 	6	20	7	1.91946169465867	-2.13119893532374
5	Nemli	P. cinnamomi 	6	20	8	1.62464138412296	-2.0994727453376
5	Nemli	P. cinnamomi 	6	20	9	1.95767151692544	-2.18529484540443
5	Nemli	P. cinnamomi 	6	20	10	1.86179229757237	-2.22620500761708
5	Nemli	P. cinnamomi 	6	20	11	1.87424146679811	-2.10872805147633
5	Nemli	P. cinnamomi 	6	20	12	1.81672032567522	-2.03146568229991
5	Nemli	P. cinnamomi 	6	20	13	1.88767992853153	-1.96560871918563
37	Nemli	P. multivora 	3	21	1	0.242853600991881	-6.61224418346638
37	Nemli	P. multivora 	3	21	2	0.224664535630902	-8.07165516927857
37	Nemli	P. cinnamomi 	3	22	1	1.93974785592514	-2.39236695514505
37	Nemli	P. cinnamomi 	3	22	2	1.87828579123642	-2.47360196915394
37	Nemli	P. cinnamomi 	3	22	3	1.90750953802919	-2.5008875183563
37	Nemli	P. cinnamomi 	3	22	4	1.91622238193101	-2.50166222773769
37	Nemli	P. cinnamomi 	3	22	5	1.92217579955917	-2.54474312927022
37	Nemli	P. cinnamomi 	3	22	6	1.93064927052916	-2.58987117719286
37	Nemli	P. cinnamomi 	3	22	7	1.86352854693031	-2.65525930767611
37	Nemli	P. cinnamomi 	3	22	8	2.00715343391408	-2.78123903656074
37	Nemli	P. cinnamomi 	3	22	9	2.01962412125431	-2.79644959002578
37	Nemli	P. cinnamomi 	3	22	10	1.75028894032289	-2.82288650389355
37	Nemli	Kontrol	3	23	1	2.50818494074566	-2.07786447390521
37	Nemli	Kontrol	3	23	2	2.29786413287753	-1.88050900102483
37	Nemli	Kontrol	3	23	3	2.4195345849049	-2.11273791651197
37	Nemli	Kontrol	3	23	4	2.34484425557337	-1.98725992345187
37	Nemli	Kontrol	3	23	5	2.29725287595922	-1.85488344570583
37	Nemli	Kontrol	3	23	6	2.46910006297639	-1.81195486228661
37	Nemli	Kontrol	3	23	7	2.47389905203343	-1.67212504445065
37	Nemli	Kontrol	3	23	8	2.36454595764024	-1.60383400370244
37	Nemli	Kontrol	3	23	9	2.29708056514009	-1.60567520032242
37	Nemli	Kontrol	3	23	10	2.31695204136591	-1.62496258394551
37	Kurak	Kontrol	7	26	1	0.0878040546543283	-5.24865615328061
37	Kurak	Kontrol	7	26	2	0.0475603968869493	-5.01296249994035
37	Kurak	Kontrol	7	26	3	-0.212198759655597	-5.26577738138349
37	Kurak	Kontrol	7	26	4	-0.117366939611351	-5.45145409393219
37	Kurak	Kontrol	7	26	5	-0.0788371138605584	-5.7769310763837
37	Kurak	Kontrol	7	26	6	-0.133391803510394	-6.20881988251159
37	Kurak	Kontrol	7	26	7	-0.15969440692583	-7.07040480524259
37	Kurak	Kontrol	7	26	8	-0.250800265485253	-8.60694832907693
37	Kurak	Kontrol	7	26	9	-0.292548010616807	-8.50981051059251
37	Kurak	Kontrol	5	27	1	-0.685940088155007	-6.37889977477816
37	Kurak	Kontrol	5	27	6	-1.28677201405176	-7.74620341396021
37	Kurak	P. cinnamomi 	1	28	1	-3.02862092459366	-8.4942044686464
37	Kurak	P. cinnamomi 	1	28	2	-0.299199175064395	-4.42975022383671
37	Kurak	P. cinnamomi 	1	28	3	-1.90102010045888	-4.49618529631597
37	Kurak	P. cinnamomi 	1	28	9	-1.29012535384984	-4.2665062101259
37	Nemli	P. multivora 	10	29	1	2.04799225260235	-2.55920210659279
37	Nemli	P. multivora 	10	29	2	2.06853964069613	-2.51381561210126
37	Nemli	P. multivora 	10	29	3	2.07836510765756	-2.50561982614819
37	Nemli	P. multivora 	10	29	4	2.08150900225959	-2.5057077565189
37	Nemli	P. multivora 	10	29	5	2.09584302411002	-2.49354895919433
37	Nemli	P. multivora 	10	29	6	2.11503621537349	-2.47666931398633
37	Nemli	P. multivora 	10	29	7	2.11257506772849	-2.46601915874836
37	Nemli	P. multivora 	10	29	8	2.14120323513816	-2.44322912629704
37	Nemli	P. multivora 	10	29	9	2.13690220840622	-2.42532894944972
37	Nemli	P. multivora 	10	29	10	2.1406260448511	-2.4171878984475
37	Nemli	P. multivora 	10	29	11	2.1612029792598	-2.40032904401837
37	Nemli	P. multivora 	10	29	12	2.16272766030483	-2.40135595706442
37	Nemli	P. cinnamomi 	1	30	6	-1.12479931431264	-7.60158469220988
37	Nemli	P. cinnamomi 	1	30	7	-0.872764325574274	-8.09868682472657
37	Nemli	P. cinnamomi 	1	30	8	-1.61586745773304	-7.01746300787159
37	Nemli	P. cinnamomi 	1	30	9	-0.966180805972795	-6.81886475203459
37	Nemli	Kontrol	4	31	1	1.76073514556606	-3.66600535254948
37	Nemli	Kontrol	4	31	2	1.52493896428663	-3.42402727169788
37	Nemli	Kontrol	4	31	3	1.49520883171678	-3.49019965917968
37	Nemli	Kontrol	4	31	4	1.57221852759066	-3.56579769927554
37	Nemli	Kontrol	4	31	5	1.89472221798903	-3.56400725936361
37	Nemli	Kontrol	4	31	6	1.69691099095651	-3.32147579323419
37	Nemli	Kontrol	4	31	7	1.80574710667173	-3.26818364424798
37	Nemli	Kontrol	4	31	8	1.96701702628799	-3.56891458705037
37	Nemli	Kontrol	4	31	9	1.80444855287232	-3.45310073578252
37	Nemli	Kontrol	4	31	10	1.77818284774175	-3.31328590488391
37	Nemli	Kontrol	2	32	1	2.52340562819443	-1.55302524020143
37	Nemli	Kontrol	2	32	2	2.63759170754431	-1.93282859589645
37	Nemli	Kontrol	2	32	3	2.5052559340126	-1.58033568528089
37	Nemli	Kontrol	2	32	4	2.68395263908413	-1.92806647946054
37	Nemli	Kontrol	2	32	5	2.63368926946976	-1.7511899622601
37	Nemli	Kontrol	2	32	6	2.57154373667038	-1.76865658202077
37	Nemli	Kontrol	2	32	7	2.6275324598403	-1.84262996248229
37	Nemli	Kontrol	2	32	8	2.50450557333144	-1.58204602908194
37	Nemli	Kontrol	2	32	9	2.6841186577918	-1.91244269361911
37	Nemli	Kontrol	2	32	10	2.67597303594508	-1.9059885277494
37	Nemli	Kontrol	2	32	11	2.52034174659314	-1.48940747962318
37	Kurak	P. cinnamomi 	7	34	1	0.63252466133505	-6.68456692867142
37	Kurak	P. cinnamomi 	7	34	10	0.575968191055946	-5.93887741009591
37	Kurak	P. cinnamomi 	7	34	11	0.597943855546444	-5.407213458329
37	Kurak	Kontrol	7	35	1	-1.40377348280709	-5.26915942133797
37	Kurak	Kontrol	7	35	2	-7.78258502053734	-5.35184304558989
37	Kurak	Kontrol	7	35	4	-3.27465265529889	-5.78770281564183
37	Kurak	Kontrol	7	35	5	-1.23346905635712	-5.65018815465979
37	Kurak	Kontrol	7	35	6	-1.25287071730006	-5.65921808364558
37	Kurak	Kontrol	7	35	8	-1.02495471742965	-5.76630159615443
22	Nemli	P. multivora 	7	37	1	1.02736427733512	-2.79728854685616
22	Nemli	P. multivora 	7	37	2	1.07430471825615	-2.79928472668015
22	Nemli	P. multivora 	7	37	3	1.05607838313623	-2.78920542614376
22	Nemli	P. multivora 	7	37	4	1.03317364983501	-2.77410891715076
22	Nemli	P. multivora 	7	37	5	1.02618632120235	-2.76282449979282
22	Nemli	P. multivora 	7	37	6	1.03598386249267	-2.75907522621402
22	Nemli	P. multivora 	7	37	7	1.03588226348213	-2.74855865103271
22	Nemli	P. multivora 	7	37	8	0.991684813748388	-2.73947053011009
22	Nemli	P. multivora 	7	37	9	1.19381485692494	-2.72126142123046
22	Nemli	P. multivora 	7	37	10	0.999184061768393	-2.73192065700603
22	Nemli	P. multivora 	7	37	11	1.19832204793202	-2.70441618713673
22	Nemli	P. multivora 	4	38	1	-0.184234908484422	-4.35757842267861
22	Nemli	P. multivora 	4	38	2	0.12647911139347	-4.33877712495425
22	Nemli	P. multivora 	4	38	3	0.426759440559437	-4.20742607487878
22	Nemli	P. multivora 	4	38	4	0.464010772900034	-4.18954592394733
22	Nemli	P. multivora 	4	38	5	0.552711392501771	-4.13009587192165
22	Nemli	P. multivora 	4	38	6	0.646886957414156	-4.07672107222778
22	Nemli	P. multivora 	4	38	7	0.669814022367563	-4.00312378719257
22	Nemli	P. multivora 	4	38	8	0.764274609590451	-3.96738107615287
22	Nemli	P. multivora 	4	38	9	0.904824822043157	-3.84863294038889
22	Nemli	P. multivora 	4	38	10	0.885127238500208	-3.8030162354426
22	Nemli	P. multivora 	4	38	11	0.954737490986875	-3.78913630454453
22	Nemli	P. multivora 	8	39	1	2.39339539807673	-2.04622891018851
22	Nemli	P. multivora 	8	39	2	2.46616411144892	-2.00792440283816
22	Nemli	P. multivora 	8	39	3	2.44648141788893	-1.96392405355039
22	Nemli	P. multivora 	8	39	4	2.47204294851454	-1.96104334949326
22	Nemli	P. multivora 	8	39	5	2.48458614676573	-1.95219513728145
22	Nemli	P. multivora 	8	39	6	2.48883099695495	-1.94561554745463
22	Nemli	P. multivora 	8	39	7	2.49671784222319	-1.93684746055493
22	Nemli	P. multivora 	8	39	8	2.49224095208438	-1.93289998249556
22	Nemli	P. multivora 	8	39	9	2.48980401310375	-1.94832178872198
22	Nemli	P. multivora 	8	39	10	2.50344331432667	-1.92831432161842
22	Nemli	P. multivora 	8	39	11	2.51763559656453	-1.93317217856958
22	Kurak	Patojenler	10	40	2	-1.67208264924706	-4.10825676975436
22	Kurak	Patojenler	10	40	3	-0.477390306093826	-4.1385190450567
22	Kurak	Patojenler	10	40	5	-3.01282976622832	-4.20865521109756
22	Kurak	Patojenler	10	40	6	-0.425895032053753	-4.28020468436027
22	Kurak	Patojenler	10	40	7	-8.85426860991507	-4.3406932317452
22	Kurak	Patojenler	10	40	9	-1.00625373061664	-4.30030575438158
22	Kurak	Patojenler	10	40	10	-1.68971313922144	-4.28953358288746
22	Kurak	Patojenler	10	40	11	-3.63332993830102	-4.28607149926178
22	Kurak	Patojenler	5	41	1	0.539870800338044	-4.35934931972501
22	Kurak	Patojenler	5	41	2	0.557949485567267	-4.36190303928563
22	Kurak	Patojenler	5	41	3	0.572463524606502	-4.34176753775076
22	Kurak	Patojenler	5	41	4	0.586406990255271	-4.32004523017408
22	Kurak	Patojenler	5	41	5	0.781911917889556	-4.26557995821449
22	Kurak	Patojenler	5	41	6	0.594034709047691	-4.25223696356649
22	Kurak	Patojenler	5	41	7	0.830253337718305	-4.22753256238399
22	Kurak	Patojenler	5	41	8	0.784062073865148	-4.22566322759136
22	Kurak	Patojenler	5	41	9	0.472803112657846	-4.18792856073497
22	Kurak	Patojenler	5	41	10	0.621679198870474	-4.13567062126153
22	Kurak	Patojenler	5	41	11	0.675136737352039	-4.08846446393452
22	Kurak	P. multivora 	7	42	1	-0.898368511140635	-5.31773670730789
22	Kurak	P. multivora 	7	42	2	-4.52867230765085	-5.39359400691481
22	Kurak	P. multivora 	7	42	3	-0.545679694461153	-5.80172225884158
22	Kurak	P. multivora 	7	42	4	-0.498980593939579	-6.63885702299059
22	Kurak	P. multivora 	7	42	5	-0.360424063111373	-6.48628166024873
22	Kurak	P. multivora 	7	42	6	-0.156647779654203	-6.35197999922351
22	Kurak	P. multivora 	7	42	7	-0.446818018539333	-6.44529943775832
22	Kurak	P. multivora 	7	42	8	-0.407499106280668	-6.51631269519705
22	Kurak	P. multivora 	7	42	9	-0.144890673662005	-6.55750200993229
22	Kurak	P. multivora 	7	42	10	-0.84785040534539	-6.41985954731154
22	Kurak	P. multivora 	7	42	11	-0.471198877670627	-6.5848416896506
22	Kurak	P. cinnamomi 	8	43	4	-1.18732789594265	-5.12813047118789
22	Kurak	P. cinnamomi 	8	43	7	-1.15909491806595	-4.72523630088762
22	Kurak	P. cinnamomi 	8	43	8	-1.0672186154925	-4.7756655486986
22	Kurak	P. cinnamomi 	8	43	9	-2.54527460304663	-4.74235831346835
22	Kurak	P. cinnamomi 	8	43	10	-1.81393992078896	-4.81034747646792
22	Kurak	P. cinnamomi 	8	43	11	-2.38208945643418	-4.78312911290553
22	Nemli	P. multivora 	10	44	1	-1.07911764408786	-5.28433616069709
22	Nemli	P. multivora 	10	44	2	-1.22889625247345	-5.34514695390483
22	Nemli	P. multivora 	10	44	3	-0.841212995450983	-5.34987427462599
22	Nemli	P. multivora 	10	44	4	-0.727973147651791	-5.35628149312263
22	Nemli	P. multivora 	10	44	5	-0.734483521917192	-5.39728127308995
22	Nemli	P. multivora 	10	44	6	-1.5984878339704	-5.31825480293055
22	Nemli	P. multivora 	10	44	7	-1.4641180699268	-5.34162432102543
22	Nemli	P. multivora 	10	44	8	-3.0424918816984	-5.36542922254011
22	Nemli	P. multivora 	10	44	9	-1.4575856791554	-5.40380833515892
22	Nemli	P. multivora 	10	44	10	-1.24407103651979	-5.42537331305834
22	Nemli	P. multivora 	10	44	11	-1.75936893836956	-5.4181832448159
22	Nemli	P. multivora 	5	45	1	1.94753179333633	-2.78083844985868
22	Nemli	P. multivora 	5	45	2	2.14726349691183	-2.69927754858855
22	Nemli	P. multivora 	5	45	3	2.18521258772103	-2.55830924985204
22	Nemli	P. multivora 	5	45	4	2.24004940165321	-2.48320868015469
22	Nemli	P. multivora 	5	45	5	2.26811047328417	-2.46935226881949
22	Nemli	P. multivora 	5	45	6	2.28347793004247	-2.46284213542932
22	Nemli	P. multivora 	5	45	7	2.32014908012961	-2.4149491429114
22	Nemli	P. multivora 	5	45	8	2.34095737132827	-2.39212927118196
22	Nemli	P. multivora 	5	45	9	2.333763303674	-2.3692022530053
22	Nemli	P. multivora 	5	45	10	2.33821826032426	-2.34076391710227
22	Nemli	P. multivora 	5	45	11	2.3775797928885	-2.3387956635757
22	Nemli	P. multivora 	5	45	12	2.3576044326452	-2.3756830000507
22	Nemli	P. multivora 	2	46	1	2.1194180196517	-2.66827702519997
22	Nemli	P. multivora 	2	46	2	2.09175487682906	-2.92779528998721
22	Nemli	P. multivora 	2	46	3	2.0344145955522	-2.73075226390199
22	Nemli	P. multivora 	2	46	4	2.22358767713761	-2.80053490033887
